Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.044153502160768916,0.9878448275862068,0.017219427050510123,0.9955747126436781
2,0.03850119148687481,0.988764367816092,0.02653817268064278,0.9920114942528736
3,0.0355778571113746,0.9898275862068966,0.024233818832887184,0.9935632183908046
4,0.033339670258520665,0.9904022988505747,0.027097220384241477,0.9914367816091954
5,0.03280453592525453,0.9908045977011494,0.02491325267665696,0.9935057471264368
6,0.01235000333188091,0.9967097701149426,0.0059394020250987094,0.9985057471264368
7,0.015110795337428477,0.9963074712643678,0.010230224897869074,0.9972988505747127
8,0.014805797640817646,0.9964655172413793,0.007678581814148214,0.9979885057471264
9,0.01527533056777795,0.996264367816092,0.008563077588539325,0.9979310344827587
10,0.015390563837383691,0.9961925287356321,0.012179922519943135,0.996264367816092
